countries,population,density,fert_rate,med_age
,,,,
Honduras,"9,904,607",89,2.5,24
United Arab Emirates,"9,890,402",118,1.4,33
Djibouti,"988,000",43,2.8,27
Saint Barthelemy,"9,877",470,N.A.,N.A.
Seychelles,"98,347",214,2.5,34
Antigua and Barbuda,"97,929",223,2.0,34
Vietnam,"97,338,579",314,2.1,32
Hungary,"9,660,351",107,1.5,43
Tajikistan,"9,537,645",68,3.6,22
Belarus,"9,449,323",47,1.7,40
Austria,"9,006,398",109,1.5,43
Fiji,"896,445",49,2.8,28
DR Congo,"89,561,403",40,6.0,17
Réunion,"895,312",358,2.3,36
Papua New Guinea,"8,947,024",20,3.6,22
Serbia,"8,737,371",100,1.5,42
Comoros,"869,601",467,4.2,20
Israel,"8,655,535",400,3.0,30
Switzerland,"8,654,622",219,1.5,43
Isle of Man,"85,033",149,N.A.,N.A.
Turkey,"84,339,067",110,2.1,32
Iran,"83,992,949",52,2.2,32
Germany,"83,783,942",240,1.6,46
Togo,"8,278,724",152,4.4,19
Holy See,801,"2,003",N.A.,N.A.
Sierra Leone,"7,976,983",111,4.3,19
Guyana,"786,552",4,2.5,27
Andorra,"77,265",164,N.A.,N.A.
Bhutan,"771,608",20,2.0,28
Hong Kong,"7,496,981","7,140",1.3,45
Laos,"7,275,560",32,2.7,24
Dominica,"71,986",96,N.A.,N.A.
Paraguay,"7,132,538",18,2.4,26
Thailand,"69,799,978",137,1.5,40
Bulgaria,"6,948,445",64,1.6,45
Libya,"6,871,292",4,2.3,29
Solomon Islands,"686,884",25,4.4,20
Lebanon,"6,825,445",667,2.1,30
United Kingdom,"67,886,011",281,1.8,40
Nicaragua,"6,624,554",55,2.4,26
Cayman Islands,"65,722",274,N.A.,N.A.
France,"65,273,511",119,1.9,42
Kyrgyzstan,"6,524,195",34,3.0,26
Macao,"649,335","21,645",1.2,39
El Salvador,"6,486,205",313,2.1,28
Montenegro,"628,066",47,1.8,39
Luxembourg,"625,978",242,1.5,40
Bermuda,"62,278","1,246",N.A.,N.A.
Saint Helena,"6,077",16,N.A.,N.A.
Italy,"60,461,826",206,1.3,47
Turkmenistan,"6,031,200",13,2.8,27
Tanzania,"59,734,218",67,4.9,18
Western Sahara,"597,339",2,2.4,28
South Africa,"59,308,690",49,2.4,28
Marshall Islands,"59,190",329,N.A.,N.A.
Suriname,"586,632",4,2.4,29
Singapore,"5,850,342","8,358",1.2,42
Saint Pierre & Miquelon,"5,794",25,N.A.,N.A.
Denmark,"5,792,202",137,1.8,42
Northern Mariana Islands,"57,559",125,N.A.,N.A.
Greenland,"56,770",0,N.A.,N.A.
Cabo Verde,"555,987",138,2.3,28
Finland,"5,540,720",18,1.5,43
American Samoa,"55,191",276,N.A.,N.A.
Congo,"5,518,087",16,4.5,19
Micronesia,"548,914",784,2.9,27
Slovakia,"5,459,642",114,1.5,41
Myanmar,"54,409,800",83,2.2,29
Norway,"5,421,241",15,1.7,40
Maldives,"540,544","1,802",1.9,30
Kenya,"53,771,296",94,3.5,20
Saint Kitts & Nevis,"53,199",205,N.A.,N.A.
South Korea,"51,269,185",527,1.1,44
Oman,"5,106,626",16,2.9,31
State of Palestine,"5,101,414",847,3.7,21
Costa Rica,"5,094,118",100,1.8,33
Colombia,"50,882,891",46,1.8,31
Liberia,"5,057,681",53,4.4,19
Montserrat,"4,992",50,N.A.,N.A.
Ireland,"4,937,786",72,1.8,38
Faeroe Islands,"48,863",35,N.A.,N.A.
Central African Republic,"4,829,767",8,4.8,18
New Zealand,"4,822,233",18,1.9,38
Spain,"46,754,778",94,1.3,45
Mauritania,"4,649,658",5,4.6,20
Uganda,"45,741,007",229,5.0,17
Argentina,"45,195,774",17,2.3,32
Malta,"441,543","1,380",1.5,43
Algeria,"43,851,044",18,3.1,29
Sudan,"43,849,260",25,4.4,20
Brunei ,"437,479",83,1.8,32
Ukraine,"43,733,762",75,1.4,41
Panama,"4,314,767",58,2.5,30
Sint Maarten,"42,876","1,261",N.A.,N.A.
Kuwait,"4,270,571",240,2.1,37
Croatia,"4,105,267",73,1.4,44
Moldova,"4,033,963",123,1.3,38
Iraq,"40,222,493",93,3.7,21
Guadeloupe,"400,124",237,2.2,44
Georgia,"3,989,167",57,2.1,38
Belize,"397,628",17,2.3,25
Bahamas,"393,244",39,1.8,32
Monaco,"39,242","26,337",N.A.,N.A.
Afghanistan,"38,928,346",60,4.6,18
Turks and Caicos,"38,717",41,N.A.,N.A.
Saint Martin,"38,666",730,N.A.,N.A.
Liechtenstein,"38,128",238,N.A.,N.A.
Poland,"37,846,611",124,1.4,42
Canada,"37,742,154",4,1.5,41
Martinique,"375,265",354,1.9,47
Morocco,"36,910,560",83,2.4,30
Eritrea,"3,546,421",35,4.1,19
Saudi Arabia,"34,813,871",16,2.3,32
Falkland Islands,"3,480",0,N.A.,N.A.
Uruguay,"3,473,730",20,2.0,36
Iceland,"341,243",3,1.8,37
San Marino,"33,931",566,N.A.,N.A.
Gibraltar,"33,691","3,369",N.A.,N.A.
Uzbekistan,"33,469,203",79,2.4,28
United States,"331,002,651",36,1.8,38
Peru,"32,971,854",26,2.3,31
Angola,"32,866,272",26,5.6,17
Bosnia and Herzegovina,"3,280,819",64,1.3,43
Mongolia,"3,278,290",2,2.9,28
Malaysia,"32,365,999",99,2.0,30
Mozambique,"31,255,435",40,4.9,18
Ghana,"31,072,940",137,3.9,22
Vanuatu,"307,145",25,3.8,21
British Virgin Islands,"30,231",202,N.A.,N.A.
French Guiana,"298,682",4,3.4,25
Yemen,"29,825,964",56,3.8,20
Armenia,"2,963,243",104,1.8,35
Jamaica,"2,961,167",273,2.0,31
Nepal,"29,136,808",203,1.9,25
Qatar,"2,881,053",248,1.9,32
Albania,"2,877,797",105,1.6,36
Barbados,"287,375",668,1.6,40
Puerto Rico,"2,860,853",323,1.2,44
New Caledonia,"285,498",16,2.0,34
Venezuela,"28,435,940",32,2.3,30
French Polynesia,"280,908",77,2.0,34
Madagascar,"27,691,018",48,4.1,20
Indonesia,"273,523,615",151,2.3,30
Mayotte,"272,815",728,3.7,20
Lithuania,"2,722,289",43,1.7,45
Cameroon,"26,545,863",56,4.6,19
Côte d'Ivoire,"26,378,274",83,4.7,19
Caribbean Netherlands,"26,223",80,N.A.,N.A.
North Korea,"25,778,816",214,1.9,35
Australia,"25,499,884",3,1.8,38
Namibia,"2,540,905",3,3.4,22
Niger,"24,206,644",19,7.0,15
Gambia,"2,416,668",239,5.3,18
Taiwan,"23,816,775",673,1.2,42
Botswana,"2,351,627",4,2.9,24
Gabon,"2,225,734",9,4.0,23
Pakistan,"220,892,340",287,3.6,23
Sao Tome & Principe,"219,159",228,4.4,19
Lesotho,"2,142,249",71,3.2,24
Sri Lanka,"21,413,249",341,2.2,34
Brazil,"212,559,417",25,1.7,33
Burkina Faso,"20,903,273",76,5.2,18
North Macedonia,"2,083,374",83,1.5,39
Slovenia,"2,078,938",103,1.6,45
Nigeria,"206,139,589",226,5.4,18
Mali,"20,250,833",17,5.9,16
Samoa,"198,414",70,3.9,22
Guinea-Bissau,"1,968,001",70,4.5,19
Romania,"19,237,691",84,1.6,43
Malawi,"19,129,952",203,4.3,18
Chile,"19,116,201",26,1.7,35
Latvia,"1,886,198",30,1.7,44
Kazakhstan,"18,776,707",7,2.8,31
Zambia,"18,383,955",25,4.7,18
Saint Lucia,"183,627",301,1.4,34
Palau,"18,094",39,N.A.,N.A.
Guatemala,"17,915,568",167,2.9,23
Ecuador,"17,643,054",71,2.4,28
Cook Islands,"17,564",73,N.A.,N.A.
Syria,"17,500,658",95,2.8,26
Channel Islands,"173,863",915,1.5,43
Netherlands,"17,134,872",508,1.7,43
Bahrain,"1,701,575","2,239",2.0,32
Guam,"168,775",313,2.3,31
Senegal,"16,743,927",87,4.7,19
Cambodia,"16,718,965",95,2.5,26
Bangladesh,"164,689,383","1,265",2.1,28
Chad,"16,425,864",13,5.8,17
Curaçao,"164,093",370,1.8,42
Niue,"1,626",6,N.A.,N.A.
Somalia,"15,893,222",25,6.1,17
Anguilla,"15,003",167,N.A.,N.A.
Zimbabwe,"14,862,924",38,3.6,19
Russia,"145,934,462",9,1.8,40
China,"1,439,323,776",153,1.7,38
Equatorial Guinea,"1,402,985",50,4.6,22
Trinidad and Tobago,"1,399,488",273,1.7,36
Tokelau,"1,357",136,N.A.,N.A.
Estonia,"1,326,535",31,1.6,42
Timor-Leste,"1,318,445",89,4.1,21
Guinea,"13,132,795",53,4.7,18
Rwanda,"12,952,218",525,4.1,20
Mexico,"128,932,753",66,2.1,29
Mauritius,"1,271,768",626,1.4,37
Japan,"126,476,461",347,1.4,48
Benin,"12,123,200",108,4.9,19
Cyprus,"1,207,359",131,1.3,37
Kiribati,"119,449",147,3.6,23
Burundi,"11,890,784",463,5.5,17
Tunisia,"11,818,619",76,2.2,33
Tuvalu,"11,792",393,N.A.,N.A.
Bolivia,"11,673,021",11,2.8,26
Eswatini,"1,160,164",67,3.0,21
Belgium,"11,589,623",383,1.7,42
Ethiopia,"114,963,588",115,4.3,19
Haiti,"11,402,528",414,3.0,24
Cuba,"11,326,616",106,1.6,42
Grenada,"112,523",331,2.1,32
Wallis & Futuna,"11,239",80,N.A.,N.A.
South Sudan,"11,193,725",18,4.7,19
St. Vincent & Grenadines,"110,940",284,1.9,33
Philippines,"109,581,078",368,2.6,26
Dominican Republic,"10,847,910",225,2.4,28
Nauru,"10,824",541,N.A.,N.A.
Czech Republic (Czechia),"10,708,981",139,1.6,43
Aruba,"106,766",593,1.9,41
Tonga,"105,695",147,3.6,22
U.S. Virgin Islands,"104,425",298,2.0,43
Greece,"10,423,054",81,1.3,46
Egypt,"102,334,404",103,3.3,25
Jordan,"10,203,134",115,2.8,24
Portugal,"10,196,709",111,1.3,46
Azerbaijan,"10,139,177",123,2.1,32
Sweden,"10,099,265",25,1.9,41
India,0,0,2.2,28
